id,corpus,encoding,run,time,status,solved,baseline_time,baseline_status,speedup,speedup_bound,n_free_date_vars,n_free_int_vars,n_free_bool_vars,pinned_var_frac,pinned_date_frac,pinned_int_frac,pinned_bool_frac,n_date_subexprs,n_atoms,n_date_comparisons,n_int_comparisons,ordering_cmp_frac,n_case_splits,max_disjunction_width,bool_alternation_depth,implication_atom_frac,neg_ordering_frac,n_unit_constraints,n_date_period_ops,ground_arith_frac,max_abs_years,max_abs_months,max_abs_days,mixed_frac,max_date_chain_len,n_dot_year,n_dot_month,n_dot_day,property_access_frac,n_symbolic_date_ctors,uses_feb29,uses_leap_year,n_components,largest_component_frac,graph_density,mixed_sort_coupling
grammar-sat-1,grammar,alpha_beta,run_1,60.003381724469364,timeout,0,16.53327269665897,sat,0.2755390149938283,upper,7,0,0,0.0,0.0,0.0,0.0,15,8,8,0,0.5,3,3,1,0.0,0.0,3,4,0.2,43,42,35,1.0,3,0,0,0,0.0,0,0,0,3,0.5714285714285714,0.19047619047619047,0
grammar-sat-1,grammar,epoch_days,run_1,9.422294751740992,sat,1,16.53327269665897,sat,1.754697038489913,exact,7,0,0,0.0,0.0,0.0,0.0,15,8,8,0,0.5,3,3,1,0.0,0.0,3,4,0.2,43,42,35,1.0,3,0,0,0,0.0,0,0,0,3,0.5714285714285714,0.19047619047619047,0
grammar-sat-1,grammar,hybrid_ymd,run_1,60.004302964545786,timeout,0,16.53327269665897,sat,0.2755347846708233,upper,7,0,0,0.0,0.0,0.0,0.0,15,8,8,0,0.5,3,3,1,0.0,0.0,3,4,0.2,43,42,35,1.0,3,0,0,0,0.0,0,0,0,3,0.5714285714285714,0.19047619047619047,0
grammar-sat-1,grammar,simple,run_1,16.53327269665897,sat,1,16.53327269665897,sat,1.0,exact,7,0,0,0.0,0.0,0.0,0.0,15,8,8,0,0.5,3,3,1,0.0,0.0,3,4,0.2,43,42,35,1.0,3,0,0,0,0.0,0,0,0,3,0.5714285714285714,0.19047619047619047,0
grammar-sat-10,grammar,alpha_beta,run_1,60.0035057682544,timeout,0,12.840753574855626,sat,0.21400005567090025,upper,7,0,0,0.0,0.0,0.0,0.0,17,9,9,0,0.8888888888888888,4,4,1,0.0,0.0,3,7,0.125,30,30,24,0.7142857142857143,3,0,0,0,0.0,0,0,0,3,0.7142857142857143,0.19047619047619047,0
grammar-sat-10,grammar,epoch_days,run_1,60.00272979494184,timeout,0,12.840753574855626,sat,0.21400282318385597,upper,7,0,0,0.0,0.0,0.0,0.0,17,9,9,0,0.8888888888888888,4,4,1,0.0,0.0,3,7,0.125,30,30,24,0.7142857142857143,3,0,0,0,0.0,0,0,0,3,0.7142857142857143,0.19047619047619047,0
grammar-sat-10,grammar,hybrid_ymd,run_1,60.003673907369375,timeout,0,12.840753574855626,sat,0.21399945601128573,upper,7,0,0,0.0,0.0,0.0,0.0,17,9,9,0,0.8888888888888888,4,4,1,0.0,0.0,3,7,0.125,30,30,24,0.7142857142857143,3,0,0,0,0.0,0,0,0,3,0.7142857142857143,0.19047619047619047,0
grammar-sat-10,grammar,simple,run_1,12.840753574855626,sat,1,12.840753574855626,sat,1.0,exact,7,0,0,0.0,0.0,0.0,0.0,17,9,9,0,0.8888888888888888,4,4,1,0.0,0.0,3,7,0.125,30,30,24,0.7142857142857143,3,0,0,0,0.0,0,0,0,3,0.7142857142857143,0.19047619047619047,0
grammar-sat-11,grammar,alpha_beta,run_1,60.00356591120362,timeout,0,10.48540522530675,sat,0.1747463682545733,upper,8,0,0,0.0,0.0,0.0,0.0,16,6,6,0,0.6666666666666666,1,2,1,0.0,0.0,4,5,0.16666666666666666,28,47,56,1.0,3,0,0,0,0.0,0,0,0,5,0.375,0.10714285714285714,0
grammar-sat-11,grammar,epoch_days,run_1,60.00407044123858,timeout,0,10.48540522530675,sat,0.17474489894106446,upper,8,0,0,0.0,0.0,0.0,0.0,16,6,6,0,0.6666666666666666,1,2,1,0.0,0.0,4,5,0.16666666666666666,28,47,56,1.0,3,0,0,0,0.0,0,0,0,5,0.375,0.10714285714285714,0
grammar-sat-11,grammar,hybrid_ymd,run_1,60.00457103271037,timeout,0,10.48540522530675,sat,0.17474344112202428,upper,8,0,0,0.0,0.0,0.0,0.0,16,6,6,0,0.6666666666666666,1,2,1,0.0,0.0,4,5,0.16666666666666666,28,47,56,1.0,3,0,0,0,0.0,0,0,0,5,0.375,0.10714285714285714,0
grammar-sat-11,grammar,simple,run_1,10.48540522530675,sat,1,10.48540522530675,sat,1.0,exact,8,0,0,0.0,0.0,0.0,0.0,16,6,6,0,0.6666666666666666,1,2,1,0.0,0.0,4,5,0.16666666666666666,28,47,56,1.0,3,0,0,0,0.0,0,0,0,5,0.375,0.10714285714285714,0
grammar-sat-12,grammar,alpha_beta,run_1,60.004260894842446,timeout,0,60.01171355973929,timeout,,,9,0,0,0.0,0.0,0.0,0.0,18,9,9,0,0.7777777777777778,4,4,1,0.0,0.0,3,4,0.2,17,59,48,1.0,4,0,0,0,0.0,0,0,1,5,0.4444444444444444,0.1111111111111111,0
